doc_id,source,domain,crawled_at,title,body
retention-policy-mirror,synthetic_fixture,mirror.example,2026-06-14,Retention policy rollout mirror,"A retention policy rollout maps each dataset to a classification, legal basis, owner, and deletion schedule. The implementation inventories storage locations, validates hold exceptions, simulates expiration, and records the number of affected objects before enforcement. Reviewers approve discrepancies and monitor deletion receipts after activation. Duplicate inventories are consolidated by dataset identity so conflicting schedules cannot silently govern the same retained material."
retention-policy-revision,synthetic_fixture,archive.example,2026-06-13,Retention policy rollout revision,"A retention policy rollout maps each dataset to a classification, legal basis, owner, and deletion schedule. The implementation inventories storage locations, validates hold exceptions, simulates expiration, and records the number of affected objects before enforcement. Reviewers approve exceptions and monitor deletion receipts after activation. Duplicate inventories are consolidated by dataset identity so conflicting schedules cannot silently govern the same retained material."
retrieval-index-canonical,synthetic_fixture,docs.example,2026-06-11,Retrieval index release,"A retrieval index release begins with canonical documents and named owners. The pipeline removes retired pages, validates source timestamps, splits approved text into reviewable chunks, and records every artifact in a release manifest. Operators compare source counts before publishing, inspect rejected chunks, and retain the previous index until citation checks pass. This procedure keeps freshness decisions, transformation history, and rollback evidence available to reviewers."
retrieval-index-mirror,synthetic_fixture,mirror.example,2026-06-10,Retrieval index release mirror,"A retrieval index release begins with canonical documents and named owners. The pipeline removes retired pages, validates source timestamps, splits approved text into reviewable chunks, and records every artifact in a release manifest. Operators compare source counts before publishing, inspect rejected chunks, and retain the previous index until citation checks pass. This procedure keeps freshness decisions, transformation history, and rollback evidence available to reviewers."
retrieval-index-revision,synthetic_fixture,archive.example,2026-06-09,Retrieval index release revision,"A retrieval index release begins with canonical documents and named owners. The pipeline removes retired pages, validates source timestamps, splits approved text into reviewable chunks, and records every artifact in a release manifest. Operators compare source counts before publishing, inspect rejected chunks, and retain the previous index until citation checks pass. This procedure keeps freshness decisions, transformation history, and rollback evidence available to auditors."
support-routing-canonical,synthetic_fixture,docs.example,2026-06-16,Support knowledge routing,"Support knowledge routing begins when an article receives a product, locale, owner, and effective version. Editors remove obsolete instructions, connect equivalent questions, test referenced commands, and publish only after the validation checklist succeeds. Search analytics identify repeated articles and stale variants for consolidation. The release record preserves redirects and source identifiers so an answer can cite the canonical article instead of an uncontrolled copy."
support-routing-mirror,synthetic_fixture,mirror.example,2026-06-15,Support knowledge routing mirror,"Support knowledge routing begins when an article receives a product, locale, owner, and effective version. Editors remove obsolete instructions, connect equivalent questions, test referenced commands, and publish only after the validation checklist succeeds. Search analytics identify repeated articles and stale variants for consolidation. The release record preserves redirects and source identifiers so an answer can cite the canonical article instead of an uncontrolled copy."
support-routing-revision,synthetic_fixture,archive.example,2026-06-14,Support knowledge routing revision,"Support knowledge routing begins when an article receives a product, locale, owner, and effective version. Editors remove obsolete instructions, connect related questions, test referenced commands, and publish only after the validation checklist succeeds. Search analytics identify repeated articles and stale variants for consolidation. The release record preserves redirects and source identifiers so an answer can cite the canonical article instead of an uncontrolled copy."
unique-access,synthetic_fixture,unique.example,2026-06-23,Access certification guide,"Managers certify privileged access by checking current responsibilities, separation of duties, expiration dates, and evidence for every retained role."
unique-api,synthetic_fixture,unique.example,2026-06-25,API retirement schedule,"An API retirement schedule records replacement endpoints, customer adoption, warning milestones, traffic thresholds, and the final disablement decision."
unique-backup,synthetic_fixture,unique.example,2026-06-26,Backup restoration exercise,"A restoration exercise measures recovery time, validates checksums, reconstructs service dependencies, and documents gaps found in the backup procedure."
unique-capacity,synthetic_fixture,unique.example,2026-06-22,Capacity forecast notes,"Capacity planners combine seasonal demand, failover headroom, purchase lead time, and measured saturation to produce a quarterly infrastructure forecast."
unique-localization,synthetic_fixture,unique.example,2026-06-21,Localization glossary review,Terminology reviewers compare approved translations against product strings and regional style guidance before publishing a glossary revision.
unique-release-notes,synthetic_fixture,unique.example,2026-06-24,Release note checklist,"Release notes identify user-visible changes, migration steps, known limitations, compatibility requirements, and links to verified rollback instructions."
